nama_wilayah,tipe_wilayah,kode_wilayah,tahun,dbh_pajak,dbh_sda,dbh_lainnya,dau_block_grant,dau_earmark,dak_fisik,dak_nonfisik,hibah,did_reguler,dana_desa
Kota Banda Aceh,Kota,31744116140,2014,31744116140,9725889985,0,610554730000,0,38833120000,0,0,24281447000,0
Kota Banda Aceh,Kota,31744116140,2015,23453981300,4533975059,0,612503568000,0,42758540000,0,0,24354333000,24890569000
Kota Banda Aceh,Kota,31744116140,2016,36457421642,2735079537,0,602292108000,0,92999343947,75636748000,0,5000000000,55864119000
Kota Banda Aceh,Kota,31744116140,2017,37832287441,3695993519,0,591711772000,0,60015091827,53702767634,0,0,70163071906
Kota Banda Aceh,Kota,31744116140,2018,36532004632,3540745774,0,591711772000,0,42900320421,73695385586,0,17750000000,64147528037
Kota Banda Aceh,Kota,31744116140,2019,32011438679,4309886014,0,605014830000,0,43980436974,70100758896,0,23010581000,73175122875
Kota Banda Aceh,Kota,31744116140,2020,33254571474,4707248154,0,547629398000,0,51467990814,75299947171,0,41144614000,75977398000
Kota Banda Aceh,Kota,31744116140,2021,50076899364,3430378631,0,539238114000,0,66745300595,71363554000,0,10998041000,77280155200
Kota Banda Aceh,Kota,31744116140,2022,48740500743,6955012366,0,539238114000,0,73057400733,100719002298,0,50554816000,70100703000
Kota Banda Aceh,Kota,31744116140,2023,40563602025,10664736000,1632078000,467510751000,90600697000,43781961717,106048470752,0,5781382000,76172967000
Kota Banda Aceh,Kota,31744116140,2024,31467368000,5332001000,1441682000,524515664000,60810433067,71554314294,110812112759,0,11429173000,77088372000
Kota Sabang,Kota,31744116140,2014,17357365807,9770464662,0,324038882000,0,31401610000,0,0,3000000000,0
Kota Sabang,Kota,31744116140,2015,11133158600,4569337659,0,332562082000,0,54471721000,0,0,0,6064106000
Kota Sabang,Kota,31744116140,2016,14642349599,2808522738,0,353813480000,0,118109168803,14731964574,0,0,13626941000
Kota Sabang,Kota,31744116140,2017,14401887735,3697418385,0,348745228000,0,53026967431,17978409084,0,50386704000,14958863149
Kota Sabang,Kota,31744116140,2018,8015283501,3612215687,0,350863359000,0,106152640917,21010290144,0,34250000000,19527822000
Kota Sabang,Kota,31744116140,2019,6949263239,4382593343,0,370143343000,0,79659565448,21768415280,0,10392723000,23635698000
Kota Sabang,Kota,31744116140,2020,7232998081,4765177173,0,338311725000,0,49144187566,23010591000,0,53472920000,25156301000
Kota Sabang,Kota,31744116140,2021,10942551655,3505022907,0,332134428000,0,69200803764,23057555000,0,17145258000,26798027000
Kota Sabang,Kota,31744116140,2022,9921897285,7037727053,0,332134428000,0,38844058774,28289790740,0,18323678000,14179325000
Kota Sabang,Kota,31744116140,2023,4548365000,11675779000,0,313697676000,33309427000,19836507531,32901831860,300000000,35206620000,15539645000
Kota Sabang,Kota,31744116140,2024,4144633000,6079076000,0,330506468000,30742996321,48297861863,33800493853,390000000,6022870000,15636770000
Kota Langsa,Kota,31744116140,2014,17470720996,9846786810,0,419767005000,0,32355330000,0,0,0,0
Kota Langsa,Kota,31744116140,2015,14765059150,4535005559,0,425446753000,0,60351491000,0,0,0,18888145000
Kota Langsa,Kota,31744116140,2016,77669842760,2653301108,0,451951928000,0,145033111052,42151224150,0,42641381000,42395862000
Kota Langsa,Kota,31744116140,2017,18927246469,3642517130,0,444012586000,0,162357964616,49364458692,0,51569612000,54171651000
Kota Langsa,Kota,31744116140,2018,14121982834,3540783274,0,444012586000,0,83368238542,48577963921,0,0,53459732999
Kota Langsa,Kota,31744116140,2019,11166477697,4310280443,0,456700561000,0,102648613782,45857713700,0,0,57772686997
Kota Langsa,Kota,31744116140,2020,9635479068,4701732911,0,414459534000,0,46339693777,47698983000,0,0,59422833227
Kota Langsa,Kota,31744116140,2021,15874390541,3440870908,0,407519092000,0,126408281442,48824215320,0,15224797000,60706328105
Kota Langsa,Kota,31744116140,2022,15393364408,6945674494,0,407519092000,0,45405017787,63487273565,0,20294005000,52848664733
Kota Langsa,Kota,31744116140,2023,9614009000,11542004350,6044201000,335415510000,87075787000,52495159464,73467760353,0,16299407000,58499724540
Kota Langsa,Kota,31744116140,2024,9929036000,5757403000,5339092000,359542316000,99820134504,65973034603,71175374587,0,17480018000,58690041871
Kota Lhokseumawe,Kota,31744116140,2014,52628587918,9725889985,0,469956588000,0,33752780000,0,0,0,0
